classe,data_hora
motorcycle,2025-11-07T19:43:23.665546
motorcycle,2025-11-07T19:43:23.726394
motorcycle,2025-11-07T19:43:23.796009
motorcycle,2025-11-07T19:43:23.863754
motorcycle,2025-11-07T19:43:23.923745
motorcycle,2025-11-07T19:43:23.983835
motorcycle,2025-11-07T19:43:24.047634
motorcycle,2025-11-07T19:43:24.112324
motorcycle,2025-11-07T19:43:24.174603
motorcycle,2025-11-07T19:43:24.235307
motorcycle,2025-11-07T19:43:24.303517
motorcycle,2025-11-07T19:43:24.371724
motorcycle,2025-11-07T19:43:24.431410
motorcycle,2025-11-07T19:43:24.489703
motorcycle,2025-11-07T19:43:24.556414
motorcycle,2025-11-07T19:43:24.624041
motorcycle,2025-11-07T19:43:24.685108
motorcycle,2025-11-07T19:43:24.744814
motorcycle,2025-11-07T19:43:24.811429
motorcycle,2025-11-07T19:43:24.880512
motorcycle,2025-11-07T19:43:24.939948
motorcycle,2025-11-07T19:52:14.793734
motorcycle,2025-11-07T19:52:18.949945
motorcycle,2025-11-07T19:53:51.300684
motorcycle,2025-11-07T19:53:55.513866
motorcycle,2025-11-07T19:53:59.745068
motorcycle,2025-11-07T20:27:24.868431
motorcycle,2025-11-07T20:27:24.975265
motorcycle,2025-11-07T20:27:25.104985
motorcycle,2025-11-07T20:27:25.189582
motorcycle,2025-11-07T20:27:25.257509
motorcycle,2025-11-07T20:27:25.325195
motorcycle,2025-11-07T20:27:25.399400
motorcycle,2025-11-07T20:27:25.467624
motorcycle,2025-11-07T20:27:25.534214
motorcycle,2025-11-07T20:27:25.609164
motorcycle,2025-11-07T20:27:25.677355
motorcycle,2025-11-07T20:27:25.742466
motorcycle,2025-11-07T20:27:25.817696
motorcycle,2025-11-07T20:27:25.887227
motorcycle,2025-11-07T20:27:25.953918
motorcycle,2025-11-07T20:27:26.028891
motorcycle,2025-11-07T20:27:26.097901
motorcycle,2025-11-07T20:27:26.164985
motorcycle,2025-11-07T20:27:26.239357
motorcycle,2025-11-07T20:27:26.307648
motorcycle,2025-11-07T20:27:26.373997
motorcycle,2025-11-07T20:27:26.453290
motorcycle,2025-11-07T20:27:26.520771
motorcycle,2025-11-07T20:27:26.586908
motorcycle,2025-11-07T20:27:26.662902
motorcycle,2025-11-07T20:27:26.730494
motorcycle,2025-11-07T20:27:26.798021
motorcycle,2025-11-07T20:27:26.873144
motorcycle,2025-11-07T20:27:26.943063
motorcycle,2025-11-07T20:27:27.011167
motorcycle,2025-11-07T20:27:27.088032
motorcycle,2025-11-07T20:27:27.156561
motorcycle,2025-11-07T20:27:27.233417
motorcycle,2025-11-07T20:27:27.307559
motorcycle,2025-11-07T20:27:27.375704
motorcycle,2025-11-07T20:27:27.439496
motorcycle,2025-11-07T20:27:27.644222
motorcycle,2025-11-07T20:27:27.736920
motorcycle,2025-11-07T20:27:27.815047
motorcycle,2025-11-07T20:27:27.908453
